*******************************************************************************
JPL/HORIZONS                      1P/Halley                2023-Mar-07 09:52:48
Rec #:90000030        Soln.date: 2022-Jun-07_13:24:35   # obs: 8548 (1835-1994)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2439857.5 ! 1968-Jan-02.0000000 (TDB)    RMSW= n.a.
   EC= .9679427911271      QR= .5747157977675837   TP= 2446470.1488983454
   OM= 59.11448293673941   W= 112.257792004868     IN= 162.1878711908339
   A= 17.92781773504393    MA= 274.1404919498392   ADIST= 35.28091967232027
   PER= 75.91006173829101  N= .012984132           ANGMOM= .018294235
   DAN= 1.7857             DDN= .82759             L= 305.8527835
   B= 16.4455591           MOID= .0752736          TP= 1986-Feb-08.6488983454
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= 5.5
   M1=  5.5      M2=  13.6     k1=  8.     k2=  5.      PHCOF=  .030
 
Comet non-gravitational force model (AMRAT=m^2/kg;A1-A3=au/d^2;DT=days;R0=au):
   AMRAT=  0.                                      DT=  0.
   A1= 4.823267459869E-10  A2= 1.554713398218E-10  A3= 0.
 Standard model:
   ALN=  .1112620426   NK=  4.6142   NM=  2.15     NN=  5.093    R0=  2.808
 
COMET comments 
1: soln ref.= JPL#73, data arc: 1835-08-21 to 1994-01-11
2: k1=8.0, k2=5.0, phase coef.=0.03;
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Mar  7 09:52:48 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 1P/Halley                       {source: JPL#73}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2022-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2022-Feb-01 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : 5.5 km                                                       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.230306.p230529                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAR-06. PREDICTS-> 2023-MAY-28
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2439857.5 ! 1968-Jan-02.0000000 (TDB)    RMSW= n.a.                  
   EC= .9679427911271      QR= .5747157977675837   TP= 2446470.1488983454      
   OM= 59.11448293673941   W= 112.257792004868     IN= 162.1878711908339       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-1.333580711037850E+01  Y= 2.543805202833605E+01  Z= 2.636800024594010E+00
  VX= 1.415824036915183E-03 VY=-1.416718165237950E-03 VZ= 4.194435401575923E-05
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= 5.5                                            
   M1=  5.5      M2=  13.6     k1=  8.     k2=  5.      PHCOF=  .030           
Comet non-gravitational force model (AMRAT=m^2/kg;A1-A3=au/d^2;DT=days;R0=au): 
   AMRAT=  0.                                      DT=  0.                     
   A1= 4.823267459869E-10  A2= 1.554713398218E-10  A3= 0.                      
 Standard model:                                                               
   ALN=  .1112620426   NK=  4.6142   NM=  2.15     NN=  5.093    R0=  2.808    
*******************************************************************************
 Date__(UT)__HR:MN, , ,            delta,     deldot,  Tru_Anom,
****************************************************************
$$SOE
 2022-Jan-01 00:00, , , 34.2461676713401,-12.9848575,  179.3978,
 2022-Jan-01 01:00, , , 34.2458554307415,-12.9654570,  179.3979,
 2022-Jan-01 02:00, , , 34.2455436571127,-12.9460477,  179.3979,
 2022-Jan-01 03:00, , , 34.2452323506667,-12.9266295,  179.3979,
 2022-Jan-01 04:00, , , 34.2449215116161,-12.9072024,  179.3980,
 2022-Jan-01 05:00, , , 34.2446111401728,-12.8877666,  179.3980,
 2022-Jan-01 06:00, , , 34.2443012365481,-12.8683220,  179.3981,
 2022-Jan-01 07:00, , , 34.2439918009530,-12.8488687,  179.3981,
 2022-Jan-01 08:00, , , 34.2436828335978,-12.8294066,  179.3981,
 2022-Jan-01 09:00, , , 34.2433743346923,-12.8099358,  179.3982,
 2022-Jan-01 10:00, , , 34.2430663044457,-12.7904564,  179.3982,
 2022-Jan-01 11:00, , , 34.2427587430668,-12.7709682,  179.3982,
 2022-Jan-01 12:00, , , 34.2424516507636,-12.7514715,  179.3983,
 2022-Jan-01 13:00, , , 34.2421450277438,-12.7319661,  179.3983,
 2022-Jan-01 14:00, , , 34.2418388742143,-12.7124522,  179.3983,
 2022-Jan-01 15:00, , , 34.2415331903814,-12.6929296,  179.3984,
 2022-Jan-01 16:00, , , 34.2412279764511,-12.6733986,  179.3984,
 2022-Jan-01 17:00, , , 34.2409232326285,-12.6538590,  179.3984,
 2022-Jan-01 18:00, , , 34.2406189591184,-12.6343109,  179.3985,
 2022-Jan-01 19:00, , , 34.2403151561247,-12.6147544,  179.3985,
 2022-Jan-01 20:00, , , 34.2400118238508,-12.5951894,  179.3985,
 2022-Jan-01 21:00, , , 34.2397089624997,-12.5756160,  179.3986,
 2022-Jan-01 22:00, , , 34.2394065722734,-12.5560342,  179.3986,
 2022-Jan-01 23:00, , , 34.2391046533737,-12.5364440,  179.3987,
 2022-Jan-02 00:00, , , 34.2388032060014,-12.5168455,  179.3987,
 2022-Jan-02 01:00, , , 34.2385022303570,-12.4972387,  179.3987,
 2022-Jan-02 02:00, , , 34.2382017266401,-12.4776237,  179.3988,
 2022-Jan-02 03:00, , , 34.2379016950499,-12.4580003,  179.3988,
 2022-Jan-02 04:00, , , 34.2376021357847,-12.4383687,  179.3988,
 2022-Jan-02 05:00, , , 34.2373030490423,-12.4187289,  179.3989,
 2022-Jan-02 06:00, , , 34.2370044350201,-12.3990810,  179.3989,
 2022-Jan-02 07:00, , , 34.2367062939143,-12.3794248,  179.3989,
 2022-Jan-02 08:00, , , 34.2364086259209,-12.3597606,  179.3990,
 2022-Jan-02 09:00, , , 34.2361114312350,-12.3400883,  179.3990,
 2022-Jan-02 10:00, , , 34.2358147100512,-12.3204078,  179.3990,
 2022-Jan-02 11:00, , , 34.2355184625634,-12.3007194,  179.3991,
 2022-Jan-02 12:00, , , 34.2352226889647,-12.2810229,  179.3991,
 2022-Jan-02 13:00, , , 34.2349273894477,-12.2613185,  179.3992,
 2022-Jan-02 14:00, , , 34.2346325642042,-12.2416061,  179.3992,
 2022-Jan-02 15:00, , , 34.2343382134254,-12.2218857,  179.3992,
 2022-Jan-02 16:00, , , 34.2340443373019,-12.2021575,  179.3993,
 2022-Jan-02 17:00, , , 34.2337509360234,-12.1824213,  179.3993,
 2022-Jan-02 18:00, , , 34.2334580097790,-12.1626774,  179.3993,
 2022-Jan-02 19:00, , , 34.2331655587572,-12.1429256,  179.3994,
 2022-Jan-02 20:00, , , 34.2328735831458,-12.1231660,  179.3994,
 2022-Jan-02 21:00, , , 34.2325820831319,-12.1033987,  179.3994,
 2022-Jan-02 22:00, , , 34.2322910589018,-12.0836236,  179.3995,
 2022-Jan-02 23:00, , , 34.2320005106412,-12.0638409,  179.3995,
 2022-Jan-03 00:00, , , 34.2317104385351,-12.0440504,  179.3995,
 2022-Jan-03 01:00, , , 34.2314208427679,-12.0242524,  179.3996,
 2022-Jan-03 02:00, , , 34.2311317235230,-12.0044467,  179.3996,
 2022-Jan-03 03:00, , , 34.2308430809835,-11.9846334,  179.3996,
 2022-Jan-03 04:00, , , 34.2305549153315,-11.9648126,  179.3997,
 2022-Jan-03 05:00, , , 34.2302672267486,-11.9449842,  179.3997,
 2022-Jan-03 06:00, , , 34.2299800154154,-11.9251483,  179.3998,
